name,price,gender_id,interest,preference_id,gift_id
【客製化刻字】獨家記憶手作 祈遇・純銀水晶手鍊(草莓晶),990,0,手作,1,1
創意小物館 鑽石陶瓷杯花束禮盒套組 克萊因藍,899,0,花藝,2,2
【可雷雕刻字】novium 鋁製自立筆-未來銀(銀色),1699,1,文具控,3,3
HMM【金點設計獎】 木柄杯,1600,1,喝咖啡,4,4
InfoThink 迪士尼小熊維尼系列公仔藍牙喇叭(蜂蜜罐造型),1680,0,迪士尼,5,5
賽先生科學工廠 Plasma 電漿球 / 靜電球 (USB hub功能)（自）,690,1,科學玩具,6,6
家居生活雜貨舖 USB無線充音箱小夜燈 飛鳥,1839,0,家居設計,7,7
家居生活雜貨舖 厚實靠山休閒靠枕 冰山,699,1,居家舒壓,8,8
創意小物館 七彩USB冠軍獎盃筆筒燈,489,1,創意文具,9,9
Bone 泡泡斜背手機包 - 隨身小包 無鉤設計 莫蘭迪藍,1180,0,生活用品,10,10
QUALY 松鼠花器(咖啡筒+粉紅盆),850,0,綠植小物,11,11
【可雷雕刻字】美國 PARKER 新IM系列 理性黑 原子筆,1300,1,高級文具,12,12
【可雷雕刻字】美國 PARKER 新IM系列 理性黑 原子筆,1300,1,高級文具,12,13
家居生活雜貨舖 趴趴水豚君拍拍燈,569,0,療癒小物,13,14
創意小物館 惡搞百萬美金鈔票造型毯,399,1,搞怪創意,14,15
木匠兄妹 simple文具洞洞板,680,1,文具控,3,16
家居生活雜貨舖 美人魚針織毛毯 藍色,1079,0,生活用品,10,17
創意小物館 可愛小狗桌面懶人手機架-二哈,398,0,狗狗周邊,15,18
創意小物館 磁吸隨身小音箱 黑色,699,1,科技小物,16,19
創意小物館 地球儀天氣瓶 紅木,659,1,療癒設計,17,20
創意小物館 歪頭鴨拍拍燈,609,0,療癒小物,13,21
家居生活雜貨舖 躺平鴨矽膠拍拍燈,589,0,療癒小物,13,22
家居生活雜貨舖 3D藍芽音樂眼罩,579,0,助眠產品,18,23
家居生活雜貨舖 北極熊咖啡杯盤組,569,0,咖啡小物,19,24
